Player,Position,Team,Opponent,Projection,Ceiling,Ceiling_Mult,Usage_Stability,Ceiling_Ratio,Leverage,StdDev,Salary,Ownership,Game_ID,Simulated_Mean,Simulated_Median,Simulated_85th,Ceiling_95th,Ceiling_99th,Boom_Percentage
Najee Harris,RB,LAC,ARI,3.52,4.02,1.127,0.654,1.142,15.933,2.57,4300.0,0.005,ARI_LAC,3.6,3.52,6.17,7.58,9.24,0.0
Raheim Sanders,RB,CLE,JAX,5.84,6.54,1.142,0.718,1.12,25.922,1.05,4000.0,0.005,CLE_JAX,5.85,5.84,6.95,7.56,8.25,0.0
Luke Musgrave,TE,GB,MIN,3.29,3.49,1.102,0.814,1.061,13.833,2.57,3000.0,0.005,GB_MIN,3.44,3.32,5.98,7.54,9.13,0.0
Jaleel McLaughlin,RB,DEN,KC,3.24,3.38,1.051,0.765,1.043,13.397,2.6,4000.0,0.005,DEN_KC,3.35,3.25,5.97,7.49,9.33,0.0
Kenny Pickett,QB,LV,MIA,1.48,1.85,1.22,0.0,1.25,7.333,3.59,4000.0,0.005,LV_MIA,2.31,1.48,5.3,7.46,9.8,0.0
Keleki Latu,TE,BUF,HOU,2.07,2.16,1.098,0.781,1.043,8.561,3.2,2500.0,0.005,BUF_HOU,2.56,2.02,5.35,7.39,9.28,0.0
Ty Chandler,RB,MIN,GB,2.03,2.28,1.12,0.494,1.123,9.037,3.23,4000.0,0.005,GB_MIN,2.53,1.98,5.37,7.32,9.4,0.0
Nate Adkins,TE,DEN,KC,0.83,0.92,1.113,0.905,1.108,3.646,3.74,2500.0,0.005,DEN_KC,1.98,0.82,4.88,7.18,9.61,0.0
Efton Chism III,WR,NE,SEA,0.86,0.92,1.111,0.885,1.07,3.646,3.88,3000.0,0.005,NE_SEA,2.01,0.9,4.79,7.16,9.55,0.0
Jahan Dotson,WR,PHI,WAS,1.14,1.28,1.097,0.778,1.123,5.073,3.47,3700.0,0.005,PHI_WAS,2.06,1.24,4.74,7.05,9.33,0.0
Malachi Corley,WR,CLE,JAX,3.84,4.01,1.1,0.802,1.044,15.894,1.88,3000.0,0.005,CLE_JAX,3.85,3.84,5.78,6.91,8.12,0.0
Tyler Conklin,TE,LAC,ARI,2.39,2.71,1.112,0.895,1.134,10.741,2.69,2500.0,0.005,ARI_LAC,2.62,2.33,5.07,6.82,8.43,0.0
Brian Robinson,RB,SF,LA,1.35,1.39,1.043,0.74,1.03,5.509,3.16,4700.0,0.005,LA_SF,2.1,1.37,4.83,6.75,8.79,0.0
Austin Hooper,TE,NE,SEA,1.97,2.11,1.11,0.879,1.071,8.363,2.92,2700.0,0.005,NE_SEA,2.39,1.93,5.0,6.74,8.82,0.0
Rasheen Ali,RB,BAL,IND,2.0,2.14,1.071,0.786,1.07,8.482,2.92,4200.0,0.005,BAL_IND,2.39,1.97,4.91,6.72,8.78,0.0
Julian Hill,TE,MIA,LV,3.14,3.52,1.105,0.839,1.121,13.952,2.16,2500.0,0.005,LV_MIA,3.23,3.16,5.34,6.71,8.09,0.0
Noah Gray,TE,KC,DEN,3.35,3.92,1.196,0.765,1.17,15.537,2.03,3000.0,0.005,DEN_KC,3.35,3.31,5.43,6.65,8.01,0.0
Quintin Morris,TE,JAX,CLE,2.72,2.91,1.102,0.817,1.07,11.534,2.38,2500.0,0.005,CLE_JAX,2.87,2.72,5.18,6.62,8.23,0.0
Jeremy Ruckert,TE,NYJ,TEN,2.73,3.1,1.102,0.816,1.136,12.287,2.33,2500.0,0.005,NYJ_TEN,2.9,2.77,5.15,6.61,8.26,0.0
Adam Trautman,TE,DEN,KC,1.71,1.88,1.11,0.879,1.099,7.451,2.97,2700.0,0.005,DEN_KC,2.25,1.72,4.86,6.61,8.59,0.0
Kameron Johnson,WR,TB,CIN,0.0,0.0,1.104,0.831,1.0,0.0,3.97,3000.0,0.005,CIN_TB,1.57,0.0,4.05,6.59,9.14,0.0
George Holani,RB,SEA,NE,1.48,1.55,1.048,0.729,1.047,6.143,3.0,4600.0,0.005,NE_SEA,2.07,1.43,4.62,6.54,8.53,0.0
Bo Melton,WR,GB,MIN,1.15,1.22,1.098,0.781,1.061,4.836,3.35,3000.0,0.005,GB_MIN,2.03,1.28,4.61,6.52,8.88,0.0
Braxton Berrios,WR,HOU,BUF,0.04,0.04,1.096,0.765,1.0,0.159,3.85,3000.0,0.005,BUF_HOU,1.56,0.02,4.07,6.39,8.93,0.0
Dare Ogunbowale,RB,HOU,BUF,2.68,2.9,1.074,0.828,1.082,11.494,2.24,4000.0,0.005,BUF_HOU,2.8,2.67,5.0,6.37,7.78,0.0
